,Street,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,County,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,count
523,113 North Moore Street , Dallas, TX,75203,32.747893,-96.804127,1,rooftop,113,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,4100,1011,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
524,2821 Carter St , Dallas, TX,75210,32.775402,-96.742045,1,rooftop,2821,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,2701,3007,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
527,2631 JOHN WEST RD , DALLAS, TX,75228,32.809216,-96.669392,1,rooftop,2631,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,12302,1000,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
528,6608 Marla Dr , Dallas, TX,75217,32.71417,-96.707134,1,rooftop,6608,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,9304,4048,4,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
529,4819 N Galloway Ave 404, Mesquite, TX,75150,32.82807,-96.627381,1,range_interpolation,4819,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Mesquite,4847892,18130,2042,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,5
530,7878 Marvin D Love Fwy , Dallas, TX,75237,32.650683,-96.878883,1,rooftop,7878,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,16605,2016,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,3
538,4821 Gaston Ave  , Dallas, TX,75246,32.799926,-96.770534,1,rooftop,4821,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,1504,3010,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
539,3110 Cedarplaza Ln  , Dallas, TX,75235,32.822084,-96.826149,1,range_interpolation,3110,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Dallas,4819000,601,4002,4,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,2
540,7200 N Stemmons Fwy , Dallas, TX,75247,32.817868,-96.867281,1,rooftop,7200,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,10000,2117,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,4
545,601 E 6TH ST 3A, IRVING, TX,75060,32.808879,-96.940014,1,rooftop,601,Dallas County,US,Dallas,2019,48,48113,Irving,4837000,14902,2023,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
546,1839 Shanna Dr , Lancaster, TX,75134,32.613146,-96.799468,1,rooftop,1839,Dallas County,US,Dallas,2019,48,48113,Lancaster,4841212,16705,1018,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
547,229 Kingsbridge Dr , Garland, TX,75040,32.947758,-96.632914,1,rooftop,229,Dallas County,US,City of Garland,2019,48,48113,Garland,4829000,19025,2015,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
548,2752 Modree Ave , Dallas, TX,75216,32.699328,-96.776484,1,rooftop,2752,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,8704,1010,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
549,2752 Cameron Way  , Mesquite, TX,75181,32.727917,-96.59231,1,rooftop,2752,Dallas County,US,Dallas,2019,48,48113,Mesquite,4847892,17306,1010,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
550,13758 BIGGS ST , DALLAS, TX,75253,32.68002,-96.592483,0.9,range_interpolation,13758,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Dallas,4819000,17004,2024,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
551,2705 CARPENTER AVE , DALLAS, TX,75215,32.756975,-96.756886,1,range_interpolation,2705,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Dallas,4819000,3800,3004,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
552,7342 CONCORDIA LN , DALLAS, TX,75241,32.65956,-96.810395,1,range_interpolation,7342,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Dallas,4819000,11200,1043,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
553,4950 Wadsworth Dr 2060, Dallas, TX,75216,32.699356,-96.759632,1,rooftop,4950,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,8701,2011,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
554,5733 PLUM DALE RD , DALLAS, TX,75241,32.675472,-96.781604,1,range_interpolation,5733,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Dallas,4819000,11401,2024,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
555,318 CASCADE DR , GARLAND, TX,75041,32.893489,-96.628403,1,range_interpolation,318,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Garland,4829000,18206,2000,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
556,1403 E ANN ARBOR AVE , DALLAS, TX,75216,32.692889,-96.804165,1,rooftop,1403,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,5901,3012,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
557,4715 Lomax Dr , Dallas, TX,75227,32.778798,-96.694546,1,rooftop,4715,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,12207,3020,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
558,2027 Rhonda St , Mesquite, TX,75149,32.791804,-96.636073,1,range_interpolation,2027,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Mesquite,4847892,17805,3009,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
559,2217 Sybil Dr , Mesquite, TX,75149,32.789304,-96.63066,1,rooftop,2217,Dallas County,US,Dallas,2019,48,48113,Mesquite,4847892,17805,3023,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
560,1740 Ridgemar Dr , Grand Prairie, TX,75051,32.721931,-96.990336,1,rooftop,1740,Dallas County,US,Dallas,2019,48,48113,Grand Prairie,4830464,16301,2041,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
561,1107 Thistle Dr , Mesquite, TX,75149,32.772484,-96.583373,1,rooftop,1107,Dallas County,US,Dallas,2019,48,48113,Mesquite,4847892,17702,1008,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
562,3622 Meadow St , Dallas, TX,75215,32.767692,-96.759117,1,rooftop,3622,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,3700,1004,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
563,6534 TIOGA PL , DALLAS, TX,75241,32.661263,-96.763466,1,rooftop,6534,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,16701,3019,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
564,14311 Skyfrost Dr  272, Dallas, TX,75253,32.68702,-96.570445,1,rooftop,14311,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,17004,3000,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
566,3811 Fortune Ln , Dallas, TX,75216,32.698221,-96.816084,1,rooftop,3811,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,5902,2009,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
567,8630 Forest Green Dr , Dallas, TX,75243,32.908408,-96.753467,1,rooftop,8630,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,7805,1007,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
568,2920 Warren Ave , Dallas, TX,75215,32.767772,-96.763114,1,rooftop,2920,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,3700,1016,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
569,4729 Harper Dr , Mesquite, TX,75150,32.82984,-96.641232,1,rooftop,4729,Dallas County,US,Dallas,2019,48,48113,Mesquite,4847892,18001,5009,5,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
570,3413 Castle Rock Ln , Garland, TX,75044,32.965403,-96.680524,1,rooftop,3413,Dallas County,US,City of Garland,2019,48,48113,Garland,4829000,19031,2017,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
571,8413 Woodside Rd , Rowlett, TX,75088,32.90732,-96.520075,1,rooftop,8413,Dallas County,US,Dallas,2019,48,48113,Rowlett,4863572,18134,2010,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
572,2539 Taos Dr , Grand Prairie, TX,75051,32.708628,-96.98847,1,rooftop,2539,Dallas County,US,Dallas,2019,48,48113,Grand Prairie,4830464,16301,1011,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
573,336 Trees Dr , Cedar Hill, TX,75104,32.613697,-96.954356,1,rooftop,336,Dallas County,US,Dallas,2019,48,48113,Cedar Hill,4813492,16514,3038,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
574,735 Lowe Dr , Cedar Hill, TX,75104,32.596962,-96.928118,1,range_interpolation,735,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Cedar Hill,4813492,16625,1021,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
575,3836 Kenzie Ct , Balch Springs, TX,75180,32.716363,-96.610778,1,rooftop,3836,Dallas County,US,Dallas,2019,48,48113,Balch Springs,4805372,17202,3003,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
576,837 Apple Valley Dr , Lancaster, TX,75134,32.620769,-96.773482,1,rooftop,837,Dallas County,US,Dallas,2019,48,48113,Lancaster,4841212,16704,2019,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
577,3617 Dunbar St House, Dallas, TX,75215,32.766904,-96.760076,1,rooftop,3617,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,3700,1015,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
579,4520 Columbia Ave 1, Dallas, TX,75226,32.792069,-96.766707,1,rooftop,4520,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,1502,4010,4,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
580,9920 Forest Ln 120, Dallas, TX,75243,32.908027,-96.714805,1,rooftop,9920,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,18505,1001,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
581,432 HART ST , DALLAS, TX,75203,32.752183,-96.802129,1,rooftop,432,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,4100,2005,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
582,3804 Silverhill Dr , Dallas, TX,75241,32.665679,-96.759416,1,rooftop,3804,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,16701,3011,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
583,2721 Ashglen Dr , Garland, TX,75043,32.841077,-96.587606,1,rooftop,2721,Dallas County,US,City of Garland,2019,48,48113,Garland,4829000,18132,2003,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
584,4001 Salem Dr , Garland, TX,75043,32.865032,-96.619176,1,rooftop,4001,Dallas County,US,City of Garland,2019,48,48113,Garland,4829000,18111,3021,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
585,6311 Holly Crest Ln , Sachse, TX,75048,32.98078,-96.562169,1,rooftop,6311,Dallas County,US,Dallas,2019,48,48113,Sachse,4864064,18122,1017,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
586,2610 Kellogg Ave , Dallas, TX,75216,32.718658,-96.795372,1,rooftop,2610,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,8801,2002,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
587,723 Black Coral Dr , Mesquite, TX,75149,32.758183,-96.570633,1,rooftop,723,Dallas County,US,Dallas,2019,48,48113,Mesquite,4847892,17303,2009,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
588,3802 O Henry Dr , Garland, TX,75042,32.835164,-96.981228,0.5,street_center,,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,Irving,4837000,14405,1010,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
589,7401 Tulane Dr B, Rowlett, TX,75088,32.888633,-96.531139,1,rooftop,7401,Dallas County,US,Dallas,2019,48,48113,Rowlett,4863572,18135,2005,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
590,5818 GOLDENEYE LN , DALLAS, TX,75249,32.653046,-96.971189,1,rooftop,5818,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,16510,2055,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
591,9747 Whitehurst Dr , Dallas, TX,75243,32.901307,-96.724474,1,rooftop,9747,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,7811,1008,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,2
593,8110 Skillman St , Dallas, TX,75231,32.890569,-96.728163,0.9,rooftop,8110,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,7827,1003,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
594,602 Twilight Trl , Richardson, TX,75080,32.96019,-96.739904,1,rooftop,602,Dallas County,US,Dallas,2019,48,48113,Richardson,4861796,19203,2002,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
595,1431 Oakbrook St , LANCASTER, TX,75134,32.607701,-96.790942,1,rooftop,1431,Dallas County,US,Dallas,2019,48,48113,Lancaster,4841212,16705,2031,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
596,110 Shadybrook Dr , Desoto, TX,75115,32.613942,-96.858043,1,range_interpolation,110,Dallas County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48113,DeSoto,4820092,16618,1012,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
597,8233 Clarkview Dr , Dallas, TX,75236,32.666241,-96.940306,1,rooftop,8233,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,16521,1043,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
598,7152 Fair Oaks Ave 2066, Dallas, TX,75231,32.872568,-96.757399,1,rooftop,7152,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,7821,2000,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
599,2117 Cantura Dr  , Mesquite, TX,75181,32.743061,-96.570648,1,rooftop,2117,Dallas County,US,Dallas,2019,48,48113,Mesquite,4847892,17304,3013,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
600,1626 Herald St , Dallas, TX,75215,32.747455,-96.7621,1,rooftop,1626,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,4000,2015,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
601,2804 E Pepperidge Dr , Lancaster, TX,75134,32.621028,-96.774653,0.8,rooftop,2804,Dallas County,US,Dallas,2019,48,48113,Lancaster,4841212,16704,2014,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,2
603,5502 Alazan Bay Dr , Rowlett, TX,75089,32.918118,-96.548965,1,rooftop,5502,Dallas County,US,Dallas,2019,48,48113,Rowlett,4863572,18140,3007,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
604,425 Lakewood Dr , Desoto, TX,75115,32.607295,-96.864396,1,rooftop,425,Dallas County,US,Desoto,2019,48,48113,DeSoto,4820092,16618,2009,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
605,147 Triumph Rd , Dallas, TX,75241,32.649899,-96.820221,1,rooftop,147,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,11200,1038,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
606,4613 Lemon Tree Ln , Garland, TX,75043,32.859314,-96.562039,1,rooftop,4613,Dallas County,US,City of Garland,2019,48,48113,Garland,4829000,18137,1005,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
607,3106 David Dr , Rowlett, TX,75088,32.898477,-96.572869,1,rooftop,3106,Dallas County,US,Dallas,2019,48,48113,Rowlett,4863572,18133,2029,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
608,453 Whitley St , Cedar Hill, TX,75104,32.588655,-96.93528,1,rooftop,453,Dallas County,US,Dallas,2019,48,48113,Cedar Hill,4813492,16626,2001,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
609,2557 Cumberland Trl , Balch Springs, TX,75181,32.732862,-96.601377,1,rooftop,2557,Dallas County,US,Dallas,2019,48,48113,Balch Springs,4805372,17306,2009,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
610,3704 Silverhill Dr , Dallas, TX,75241,32.66519,-96.760439,1,rooftop,3704,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,16701,3011,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
611,3030 SEEVERS AVE , DALLAS, TX,75216,32.708488,-96.821471,1,rooftop,3030,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,5600,2019,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
612,7402 Centenary Dr , Rowlett, TX,75089,32.927738,-96.527558,1,rooftop,7402,Dallas County,US,Dallas,2019,48,48113,Rowlett,4863572,18124,3020,3,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
613,4645 Country Creek Dr 1101, Dallas, TX,75236,32.698523,-96.899887,1,rooftop,4645,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,16520,2000,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
614,3048 Valley View Ln , Dallas, TX,75234,32.924081,-96.87413,1,rooftop,3048,Dallas County,US,Dallas,2019,48,48113,Farmers Branch,4825452,14001,4011,4,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
615,786 Fairwood Dr , Dallas, TX,75232,32.657928,-96.835239,1,rooftop,786,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,11104,1015,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
616,9601 Forest Ln 516, Dallas, TX,75243,32.91009,-96.727755,1,rooftop,9601,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,19035,2001,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
617,8101 Teal Dr , Rowlett, TX,75088,32.911543,-96.523743,1,rooftop,8101,Dallas County,US,Dallas,2019,48,48113,Rowlett,4863572,18134,2004,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
618,8821 Rustown Dr , Dallas, TX,75228,32.813816,-96.67842,1,rooftop,8821,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,12302,2004,2,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
619,7662 Concordia Ln , Dallas, TX,75241,32.653346,-96.81028,1,rooftop,7662,Dallas County,US,Dallas,2019,48,48113,Dallas,4819000,11200,1043,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
620,324 Towne House Ln , Richardson, TX,75081,32.94387,-96.715577,1,rooftop,324,Dallas County,US,Dallas,2019,48,48113,Richardson,4861796,19100,4014,4,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
621,432 GATEWOOD RD 130, GARLAND, TX,75043,32.857542,-96.605803,1,rooftop,432,Dallas County,US,City of Garland,2019,48,48113,Garland,4829000,18128,1006,1,4.8113E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124,1
